COUNTRY,NAME
NETHERLANDS,Netherlands
NEW ZEALAND,New Zealand
NICARAGUA,Nicaragua
NIGER,Niger
NIGERIA,Nigeria
NORTH MACEDONIA,North Macedonia
NORWAY,Norway
OMAN,Oman
PAKISTAN,Pakistan
PALAU,Palau
PANAMA,Panama
PAPUA NEW GUINEA,Papua New Guinea
PARAGUAY,Paraguay
PERU,Peru
PHILIPPINES,Philippines
POLAND,Poland
PORTUGAL,Portugal
QATAR,Qatar
REPUBLIC OF KOREA,South Korea
REPUBLIC OF MOLDOVA,Moldova
ROMANIA,Romania
RUSSIAN FEDERATION,Russia
RWANDA,Rwanda
SAINT KITTS AND NEVIS,Saint Kitts and Nevis
SAINT LUCIA,Saint Lucia
SAINT VINCENT AND THE GRENADINES,St. Vincent and the Grenadines
SAMOA,Samoa
SAN MARINO,San Marino
SAO TOME AND PRINCIPE,São Tomé and Principe
SAUDI ARABIA,Saudi Arabia
SENEGAL,Senegal
SERBIA,Serbia
SEYCHELLES,Seychelles
SIERRA LEONE,Sierra Leone
SINGAPORE,Singapore
SLOVAKIA,Slovakia
SLOVENIA,Slovenia
SOLOMON ISLANDS,Solomon Islands
SOMALIA,Somalia
SOUTH AFRICA,South Africa
SOUTH SUDAN,South Sudan
SPAIN,Spain
SRI LANKA,Sri Lanka
SUDAN,Sudan
SURINAME,Suriname
SWEDEN,Sweden
SWITZERLAND,Switzerland
SYRIAN ARAB REPUBLIC,Syria
TAJIKISTAN,Tajikistan
THAILAND,Thailand
TIMOR-LESTE,Timor-Leste
TOGO,Togo
TONGA,Tonga
TRINIDAD AND TOBAGO,Trinidad and Tobago
TUNISIA,Tunisia
TURKEY,Turkey
TURKMENISTAN,Turkmenistan
TUVALU,Tuvalu
UGANDA,Uganda
UKRAINE,Ukraine
UNITED ARAB EMIRATES,United Arab Emirates
UNITED KINGDOM,United Kingdom
UNITED REPUBLIC OF TANZANIA,Tanzania
UNITED STATES,United States
URUGUAY,Uruguay
UZBEKISTAN,Uzbekistan
VANUATU,Vanuatu
VENEZUELA (BOLIVARIAN REPUBLIC OF),Venezuela
VIET NAM,Vietnam
YEMEN,Yemen
ZAMBIA,Zambia
ZIMBABWE,Zimbabwe
ANTARCTICA,Antarctica
KOSOVO,Kosovo
TAIWAN,Taiwan
VATICAN,Vatican City
